"Name","Component","Side","Place X","Place Y","Rotation"
"J3","5055680771","Top","522.913","481.335","270.00"
"LOGO2","Designspark_Logo","Top","478.200","524.100","0.00"
"LED1","KPA-3010CGCK","Top","499.877","531.851","0.00"
"R1","Resistor","Top","496.200","527.900","180.00"
"LOGO1","RS_Logo","Top","478.805","514.431","0.00"
"M1","SFA30-D-T","Top","501.500","502.000","180.00"
"H1","SMTSO-M25-2ET","Top","510.500","502.000","0.00"
"H2","SMTSO-M25-2ET","Top","492.500","521.000","0.00"
"CONN1","SolderBridge_0603_NC","Top","506.300","529.700","180.00"
"J1","SSW-106-02-G-D-RA","Top","527.960","500.000","90.00"
"J2","TSW-106-08-G-D-RA","Top","477.500","500.000","90.00"
